Char,Stroke,HD,Num-neighbor,C&B_raw,C&B_log
番,12,3.0,278.0,1138.0,3.06
画,8,5.0,305.0,7877.0,3.9
痉,10,12.0,305.0,164.0,2.21
痛,12,2.0,306.0,8963.0,3.95
酸,14,1.0,276.0,1527.0,3.18
痢,12,23.0,306.0,32.0,1.51
登,12,3.0,277.0,5456.0,3.74
发,5,3.0,277.0,87630.0,4.94
盗,11,8.0,305.0,2653.0,3.42
睇,12,10.0,306.0,1.0,0.0
短,12,1.0,261.0,4871.0,3.69
硝,12,15.0,277.0,171.0,2.23
硬,12,2.0,306.0,3248.0,3.51
砚,9,,,5.0,0.7
稀,12,24.0,278.0,649.0,2.81
税,12,3.0,304.0,1301.0,3.11
程,12,11.0,220.0,10184.0,4.01
稍,12,6.0,278.0,3604.0,3.56
窗,12,2.0,278.0,3573.0,3.55
窘,12,3.0,259.0,101.0,2.0
竣,12,,,7.0,0.85
童,12,9.0,220.0,3421.0,3.53
笔,10,5.0,262.0,5687.0,3.75
等,12,1.0,261.0,71184.0,4.85
筋,12,9.0,277.0,728.0,2.86
答,12,4.0,220.0,11907.0,4.08
策,12,5.0,303.0,2376.0,3.38
粟,12,9.0,305.0,50.0,1.7
粢,12,,,,
紫,12,6.0,261.0,741.0,2.87
结,9,13.0,220.0,32979.0,4.52
绝,9,13.0,218.0,16004.0,4.2
绞,9,11.0,261.0,390.0,2.59
绚,9,5.0,305.0,42.0,1.62
给,9,1.0,259.0,123887.0,5.09
绒,9,12.0,217.0,400.0,2.6
絮,12,11.0,305.0,115.0,2.06
丝,5,12.0,277.0,6698.0,3.83
肃,8,9.0,305.0,938.0,2.97
胀,8,8.0,305.0,320.0,2.51
脾,12,8.0,220.0,1026.0,3.01
腋,12,9.0,306.0,85.0,1.93
腌,12,3.0,276.0,159.0,2.2
肾,8,5.0,306.0,794.0,2.9
腔,12,2.0,278.0,996.0,3.0
腕,12,4.0,306.0,624.0,2.8
舒,12,12.0,278.0,3635.0,3.56
菁,11,14.0,277.0,14.0,1.15
菊,11,6.0,220.0,248.0,2.39
菌,11,6.0,304.0,1021.0,3.01
菜,11,2.0,306.0,4069.0,3.61
菠,11,7.0,278.0,200.0,2.3
菩,11,9.0,220.0,104.0,2.02
华,6,5.0,219.0,7527.0,3.88
菱,11,19.0,220.0,29.0,1.46
萃,11,9.0,304.0,98.0,1.99
萌,11,5.0,219.0,88.0,1.94
萎,11,10.0,262.0,166.0,2.22
著,11,10.0,306.0,2734.0,3.44
虚,11,8.0,277.0,2370.0,3.37
蛔,12,,,15.0,1.18
蛙,12,4.0,278.0,442.0,2.65
蛟,12,14.0,277.0,5.0,0.7
蛤,12,9.0,220.0,200.0,2.3
街,12,8.0,278.0,8599.0,3.93
