,Character-1,Character-2,Word_Trad,Word_Sim,Stroke-1,Stroke-2,C&B-Subtitle-raw-C1,C&B-Subtitle-log-C1,C&B-Subtitle-raw-C2,C&B-Subtitle-log-C2,C&B-Subtitle-raw-W,C&B-Subtitle-log-W,HD-1,HD-2,Num-neighbor-1,Num-neighbor-2
193,上,任,上任,上任,3,6,236451,5.37,34349,4.54,89,1.95,4,6,305,305
194,上,吊,上吊,上吊,3,6,236451,5.37,1272,3.10,123,2.09,4,5,305,305
195,上,旬,上旬,上旬,3,6,236451,5.37,46,1.66,1,0.00,4,8,305,219
196,上,次,上次,上次,3,6,236451,5.37,58108,4.76,1672,3.22,4,3,305,305
197,上,色,上色,上色,3,6,236451,5.37,21624,4.33,30,1.48,4,6,305,303
198,上,衣,上衣,上衣,3,6,236451,5.37,14941,4.17,373,2.57,4,10,305,278
199,上,床,上床,上床,3,7,236451,5.37,8706,3.94,,,4,2,305,220
200,上,身,上身,上身,3,7,236451,5.37,38760,4.59,165,2.22,4,10,305,278
201,上,车,上車,上车,3,7,236451,5.37,55587,4.74,557,2.75,4,1,305,277
202,上,京,上京,上京,3,8,236451,5.37,1329,3.12,,,4,14,305,277
203,上,来,上來,上来,3,8,236451,5.37,377902,5.58,522,2.72,4,5,305,218
204,上,周,上周,上周,3,8,236451,5.37,21092,4.32,1552,3.19,4,5,305,278
205,上,岸,上岸,上岸,3,8,236451,5.37,1693,3.23,51,1.71,4,7,305,305
206,上,升,上昇,上升,3,8,236451,5.37,4362,3.64,446,2.65,4,6,305,278
207,上,空,上空,上空,3,8,236451,5.37,15517,4.19,178,2.25,4,1,305,277
208,上,门,上門,上门,3,8,236451,5.37,25908,4.41,440,2.64,4,2,305,219
209,上,前,上前,上前,3,9,236451,5.37,75236,4.88,103,2.01,4,8,305,220
210,上,品,上品,上品,3,9,236451,5.37,14318,4.16,7,0.85,4,1,305,262
211,上,帝,上帝,上帝,3,9,236451,5.37,15988,4.20,14605,4.16,4,10,305,306
212,上,映,上映,上映,3,9,236451,5.37,931,2.97,134,2.13,4,2,305,306
213,上,流,上流,上流,3,9,236451,5.37,11946,4.08,105,2.02,4,10,305,220
214,上,述,上述,上述,3,9,236451,5.37,2432,3.39,52,1.72,4,10,305,306
215,上,限,上限,上限,3,9,236451,5.37,3137,3.50,39,1.59,4,12,305,306
216,上,面,上面,上面,3,9,236451,5.37,67015,4.83,5363,3.73,4,2,305,305
217,上,风,上風,上风,3,9,236451,5.37,13301,4.12,62,1.79,4,9,305,277
218,上,香,上香,上香,3,9,236451,5.37,5724,3.76,,,4,7,305,278
219,上,乘,上乘,上乘,3,10,236451,5.37,2310,3.36,16,1.20,4,11,305,220
220,上,校,上校,上校,3,10,236451,5.37,13122,4.12,1395,3.14,4,8,305,305
221,上,班,上班,上班,3,10,236451,5.37,11120,4.05,2221,3.35,4,8,305,277
222,上,级,上級,上级,3,10,236451,5.37,9893,4.00,265,2.42,4,19,305,220
223,上,阵,上陣,上阵,3,10,236451,5.37,2429,3.39,71,1.85,4,7,305,305
224,上,将,上將,上将,3,11,236451,5.37,30460,4.48,178,2.25,4,8,305,277
225,上,尉,上尉,上尉,3,11,236451,5.37,2212,3.34,1175,3.07,4,13,305,306
226,上,船,上船,上船,3,11,236451,5.37,9979,4.00,,,4,3,305,220
227,上,报,上報,上报,3,12,236451,5.37,21904,4.34,148,2.17,4,7,305,305
228,上,场,上場,上场,3,12,236451,5.37,34746,4.54,648,2.81,4,3,305,262
229,上,扬,上揚,上扬,3,12,236451,5.37,1414,3.15,13,1.11,4,7,305,220
230,上,朝,上朝,上朝,3,12,236451,5.37,3629,3.56,4,0.60,4,3,305,277
231,上,款,上款,上款,3,12,236451,5.37,3486,3.54,1,0.00,4,1,305,260
232,上,游,上游,上游,3,12,236451,5.37,12371,4.09,69,1.84,4,8,305,220
233,上,等,上等,上等,3,12,236451,5.37,71184,4.85,110,2.04,4,1,305,261
234,上,策,上策,上策,3,12,236451,5.37,2376,3.38,26,1.41,4,5,305,303
235,上,街,上街,上街,3,12,236451,5.37,8599,3.93,113,2.05,4,8,305,278
236,上,诉,上訴,上诉,3,12,236451,5.37,65753,4.82,310,2.49,4,9,305,305
237,上,进,上進,上进,3,12,236451,5.37,55676,4.75,30,1.48,4,10,305,305
238,上,集,上集,上集,3,12,236451,5.37,11403,4.06,59,1.77,4,19,305,220
239,上,当,上當,上当,3,13,236451,5.37,80228,4.90,139,2.14,4,3,305,277
240,上,路,上路,上路,3,13,236451,5.37,23462,4.37,287,2.46,4,13,305,305
241,上,榜,上榜,上榜,3,14,236451,5.37,591,2.77,,,4,4,305,261
242,上,演,上演,上演,3,14,236451,5.37,23373,4.37,403,2.61,4,5,305,262
243,上,涨,上漲,上涨,3,14,236451,5.37,519,2.72,64,1.81,4,8,305,305
244,上,宾,上賓,上宾,3,14,236451,5.37,2536,3.40,7,0.85,4,5,305,275
245,上,层,上層,上层,3,15,236451,5.37,3807,3.58,129,2.11,4,1,305,218
246,上,楼,上樓,上楼,3,15,236451,5.37,9176,3.96,237,2.37,4,3,305,219
247,上,课,上課,上课,3,15,236451,5.37,5285,3.72,815,2.91,4,6,305,306
248,上,学,上學,上学,3,16,236451,5.37,41964,4.62,1241,3.09,4,1,305,220
249,上,头,上頭,上头,3,16,236451,5.37,49069,4.69,200,2.30,4,2,305,219
250,上,联,上聯,上联,3,17,236451,5.37,14117,4.15,,,4,7,305,219
251,上,锁,上鎖,上锁,3,18,236451,5.37,4940,3.69,,,4,4,305,260
252,上,颚,上顎,上颚,3,18,236451,5.37,106,2.03,12,1.08,4,14,305,305
253,上,边,上邊,上边,3,19,236451,5.37,30972,4.49,110,2.04,4,5,305,277
254,上,瘾,上癮,上瘾,3,22,236451,5.37,1372,3.14,315,2.50,4,5,305,262
255,下,人,下人,下人,3,2,153565,5.19,373292,5.57,13,1.11,4,5,305,219
256,下,凡,下凡,下凡,3,3,153565,5.19,1875,3.27,28,1.45,4,10,305,220
257,下,山,下山,下山,3,3,153565,5.19,8779,3.94,33,1.52,4,12,305,277
258,下,工,下工,下工,3,3,153565,5.19,44548,4.65,2,0.30,4,12,305,277
259,下,午,下午,下午,3,4,153565,5.19,8167,3.91,2928,3.47,4,8,305,262
260,下,巴,下巴,下巴,3,4,153565,5.19,14445,4.16,392,2.59,4,7,305,279
261,下,手,下手,下手,3,4,153565,5.19,75608,4.88,679,2.83,4,3,305,261
262,下,文,下文,下文,3,4,153565,5.19,14196,4.15,18,1.26,4,6,305,220
263,下,方,下方,下方,3,4,153565,5.19,52743,4.72,106,2.03,4,4,305,278
264,下,水,下水,下水,3,4,153565,5.19,21793,4.34,108,2.03,4,1,305,260
265,下,令,下令,下令,3,5,153565,5.19,12327,4.09,291,2.46,4,2,305,306
266,下,册,下冊,下册,3,5,153565,5.19,1372,3.14,,,4,5,305,303
267,下,去,下去,下去,3,5,153565,5.19,232346,5.37,7767,3.89,4,3,305,305
268,下,台,下台,下台,3,5,153565,5.19,13404,4.13,112,2.05,4,4,305,219
269,下,列,下列,下列,3,6,153565,5.19,4646,3.67,21,1.32,4,8,305,304
270,下,旬,下旬,下旬,3,6,153565,5.19,46,1.66,5,0.70,4,8,305,219
271,下,次,下次,下次,3,6,153565,5.19,58108,4.76,2248,3.35,4,3,305,305
272,下,床,下床,下床,3,7,153565,5.19,8706,3.94,,,4,2,305,220
273,下,身,下身,下身,3,7,153565,5.19,38760,4.59,63,1.80,4,10,305,278
274,下,车,下車,下车,3,7,153565,5.19,55587,4.74,257,2.41,4,1,305,277
275,下,来,下來,下来,3,8,153565,5.19,377902,5.58,12748,4.11,4,5,305,218
276,下,周,下周,下周,3,8,153565,5.19,21092,4.32,,,4,5,305,278
277,下,坡,下坡,下坡,3,8,153565,5.19,510,2.71,28,1.45,4,2,305,278
278,下,放,下放,下放,3,8,153565,5.19,46528,4.67,22,1.34,4,1,305,306
279,下,注,下注,下注,3,8,153565,5.19,15259,4.18,,,4,10,305,306
280,下,肢,下肢,下肢,3,8,153565,5.19,615,2.79,26,1.41,4,11,305,278
281,下,雨,下雨,下雨,3,8,153565,5.19,3189,3.50,250,2.40,4,9,305,260
282,下,品,下品,下品,3,9,153565,5.19,14318,4.16,1,0.00,4,1,305,262
283,下,垂,下垂,下垂,3,9,153565,5.19,668,2.82,64,1.81,4,6,305,218
284,下,流,下流,下流,3,9,153565,5.19,11946,4.08,161,2.21,4,10,305,220
285,下,述,下述,下述,3,9,153565,5.19,2432,3.39,,,4,10,305,306
286,下,降,下降,下降,3,9,153565,5.19,4045,3.61,538,2.73,4,5,305,305
287,下,限,下限,下限,3,9,153565,5.19,3137,3.50,2,0.30,4,12,305,306
288,下,面,下面,下面,3,9,153565,5.19,67015,4.83,3771,3.58,4,2,305,305
289,下,风,下風,下风,3,9,153565,5.19,13301,4.12,26,1.41,4,9,305,277
290,下,唇,下唇,下唇,3,10,153565,5.19,1212,3.08,,,4,4,305,219
291,下,挫,下挫,下挫,3,10,153565,5.19,387,2.59,2,0.30,4,4,305,304
292,下,海,下海,下海,3,10,153565,5.19,16404,4.21,31,1.49,4,2,305,262
293,下,班,下班,下班,3,10,153565,5.19,11120,4.05,830,2.92,4,8,305,277
294,下,级,下級,下级,3,10,153565,5.19,9893,4.00,29,1.46,4,19,305,220
